ID,GEN_BANK_ID,M27_Root,M793_Root,M9_Root
MDP0000279706,#N/A,3.723949162,2.529388811,1.882906228
MDP0000279708,103429602,4.673169821,6.239452935,5.856397332
MDP0000279710,103444388,71.34551333,87.65751927,97.64091296
MDP0000279712,#N/A,0.009749725,0,0
MDP0000279713,#N/A,28.87404337,32.08440381,45.46755998
MDP0000279715,103403084,0.517207197,0.61958351,0.520195025
MDP0000279717,#N/A,0,0,0.008653401
MDP0000279719,#N/A,3.190283499,5.771034949,4.315306688
MDP0000279733,#N/A,0.059493221,0.435534893,0.595186232
MDP0000279740,#N/A,0.943638145,0.678477767,2.340269835
MDP0000279744,#N/A,0.935922307,0.631812132,0.74038956
MDP0000279745,#N/A,0,0,0
MDP0000279746,103403546,0.060522516,0,0.023744454
MDP0000279752,#N/A,8.692272744,13.05458536,11.54992972
MDP0000279754,#N/A,2.12461385,3.526725344,2.558766731
MDP0000279760,103413361,0.024192264,0.007379395,0.018982426
MDP0000279764,#N/A,0.917131455,1.738469336,2.929905522
MDP0000279765,#N/A,2.104351429,2.022307395,2.698696936
MDP0000279767,#N/A,1.786715773,3.140944181,1.438837304
MDP0000279769,103434919,0.035157803,0.026810565,0.041379782
MDP0000279771,#N/A,0,0,0
MDP0000279776,103434767,1.11296489,1.158256551,0.928936949
MDP0000279778,103438659,2.73296985,3.23929077,3.859957768
MDP0000279779,#N/A,2.897446455,1.824381535,2.909633819
MDP0000279783,103410998,2.514732697,1.802863189,2.03602168
MDP0000279784,103421671,4.200349361,7.285843123,6.714574086
MDP0000279785,#N/A,4.286606139,7.277705698,5.921238078
MDP0000279790,#N/A,1.36074274,1.472434405,1.613247539
MDP0000279796,#N/A,4.184790817,3.323205415,4.524676096
MDP0000279802,#N/A,0,0,0
MDP0000279807,103426227,0.038357472,0,0.270874229
MDP0000279808,103430259,2.042302556,1.517323007,1.189967713
MDP0000279809,#N/A,4.536321028,6.106992074,5.955180064
MDP0000279823,#N/A,0,0.640775894,0.277608987
MDP0000279824,#N/A,0.270728688,0.32737345,0.295880308
MDP0000279826,103451488,0,0,0
MDP0000279831,103417389,0.114770387,0.168041022,0.1485898
MDP0000279834,103440178,10.80237282,10.30345428,16.31852064
MDP0000279838,103440182,0,0.083364101,0
MDP0000279839,103440184,7.083585407,2.892033101,5.964296115
MDP0000279840,103440185,0.013848778,0.012672927,0.016299637
MDP0000279845,103446752,3.437097454,3.331651745,4.434924791
MDP0000279854,103434362,0.095525274,0.063300198,0.155076772
MDP0000279862,#N/A,0.992602604,0.723131902,1.735385972
MDP0000279863,#N/A,16.09332383,12.46122009,13.63029227
MDP0000279865,#N/A,0.410862582,0.734051679,9.233963101
MDP0000279886,#N/A,0.287595034,0.7775665,1.723229776
MDP0000279888,103436729,0,0,0
MDP0000279891,#N/A,0.031772946,0.087225653,0.074791794
MDP0000279892,#N/A,1.735139809,1.511770419,1.349738178
MDP0000279896,#N/A,3.545078479,4.209258712,3.379348844
MDP0000279904,#N/A,4.060969104,3.245404562,3.889773247
MDP0000279905,#N/A,11.95712911,10.67060489,9.653529031
MDP0000279907,#N/A,4.625583853,2.91292342,4.507552578
MDP0000279912,103445682,0,0,0
MDP0000279924,103433470,0.156519079,0.259603642,0.161191376
MDP0000279926,#N/A,4.88331788,7.513130702,5.369533216
MDP0000279928,103447454,5.097806326,2.968617001,3.958931044
MDP0000279936,#N/A,1.057314761,4.851531497,2.82663574
MDP0000279939,#N/A,1.038737966,1.126852671,1.626802124
MDP0000279940,#N/A,30.62383816,29.3575017,35.82040808
MDP0000279942,#N/A,0.411342701,0.163659584,0.652535464
MDP0000279943,103452525,0.322529208,0.499475122,0.350407514
MDP0000279944,103423911,0,0,0
MDP0000279950,#N/A,0.158386505,0.184111024,0.211608062
MDP0000279951,#N/A,0,0,0
MDP0000279955,#N/A,0.032211799,0.058953618,0.037912415
MDP0000279956,103448076,0,0,0
MDP0000279958,#N/A,0.848048826,0.986222573,0.956541723
MDP0000279970,103425127,0.021162743,0.009682945,0.037361963
MDP0000279972,#N/A,0.551766784,0.269289713,0.216471519
MDP0000279973,103405785,31.54116024,19.85432221,38.47302169
MDP0000279979,#N/A,8.376196544,11.83545529,10.28397254
MDP0000279981,103423707,67.28022286,83.2476556,89.86145068
MDP0000279986,#N/A,10.6190233,8.367025173,13.21346447
MDP0000279988,#N/A,2.337507854,1.376852244,1.391403107
MDP0000279990,#N/A,8.439716685,5.018169082,6.742179535
MDP0000279991,#N/A,163.4350785,282.0573904,205.0339634
MDP0000279997,#N/A,2.226864323,1.106228384,1.286652589
MDP0000280001,#N/A,99.39303449,103.9262619,72.52317898
MDP0000280003,103436169,3.444382925,1.378970478,1.266857934
MDP0000280005,#N/A,1.045439501,2.364090911,1.857512244
MDP0000280009,103440341,0.311544655,0.101818749,0.314296816
MDP0000280025,#N/A,19.85519814,33.95525817,31.88186576
MDP0000280027,#N/A,2.933735788,3.975989719,4.458210246
MDP0000280031,#N/A,2.150533653,1.924207439,2.137390094
MDP0000280035,#N/A,0,0,0
MDP0000280036,103413381,0.703661203,0.390948886,0.828190172
MDP0000280037,#N/A,0.198523975,0.583249909,0.848545077
MDP0000280038,103436433,0.037001224,0.048370829,0.03732809
MDP0000280040,#N/A,0.155287391,0.064592039,0.083076842
MDP0000280042,#N/A,1.214971656,1.671215313,1.14219225
MDP0000280043,103401883,0.023197622,0.042455988,0.054605945
MDP0000280047,#N/A,0.863315425,0.952346075,0.445413202
MDP0000280049,103449873,0.539845896,0.382857351,0.428884196
MDP0000280055,#N/A,0,0,0
MDP0000280059,103418211,14.49789354,12.43952869,19.83417396
MDP0000280067,#N/A,0,0.074934023,0
MDP0000280074,#N/A,0,0,0
MDP0000280075,#N/A,0.990953445,0.788804902,1.08644006
MDP0000280081,103417247,4.017909233,2.907440096,3.482475423
MDP0000280086,#N/A,5.710122574,9.680548765,7.074378498
MDP0000280087,#N/A,0.251350059,0.748656133,0.440847999
MDP0000280090,103437629,0,0.036294574,0.093362546
MDP0000280093,103437685,0.299749336,0.382472804,0.233541575
MDP0000280102,103437677,1.45758392,0.296405691,0.648091675
MDP0000280105,#N/A,53.04831042,39.64524549,40.22233875
MDP0000280108,#N/A,2.811054703,2.76292448,2.009628806
MDP0000280112,#N/A,0.076313294,0.027933521,0.035927472
MDP0000280117,103417730,0,0.0244365,0
MDP0000280124,#N/A,0.149495787,0.124366024,0.207943853
MDP0000280142,103437354,12.06618157,21.65456602,14.64702504
MDP0000280145,103437355,0.331269073,0.13472986,0.251265489
MDP0000280149,103445490,0.039933806,0.073086335,0.470010078
MDP0000280150,103401311,2.91516784,1.204327979,0.932719029
MDP0000280160,103404400,2.111775128,1.974482007,2.944779679
MDP0000280163,#N/A,0.477896367,1.384846263,0.337482646
MDP0000280164,103415019,0.462077886,0.485027495,0.383896344
MDP0000280165,103412533,0.166581019,0.174213957,0.252078875
MDP0000280166,#N/A,0.390955454,0.559973434,0.700219096
MDP0000280170,#N/A,2.647944122,4.246011528,4.288841964
MDP0000280173,#N/A,0.98580555,0.476826547,0.447531335
MDP0000280175,#N/A,0.048994417,0.089668949,0.192217007
MDP0000280176,#N/A,0,0,0
MDP0000280185,#N/A,1.187660972,1.185622765,2.541535979
MDP0000280186,103456204,0,0.007094817,0
MDP0000280190,#N/A,0.690798066,0.581573252,0.878094658
MDP0000280196,#N/A,0,0,0
MDP0000280202,103428679,7.392530887,6.669128055,6.862147143
MDP0000280203,#N/A,0,0,0
MDP0000280208,#N/A,0,0,0.030363483
MDP0000280227,#N/A,0,0,0
MDP0000280233,103441122,0,0,0
MDP0000280236,103406723,1.863275909,1.068995322,1.695317404
MDP0000280240,#N/A,1.20167224,0.29866833,0.803202973
MDP0000280241,#N/A,0,0.039115121,0
MDP0000280243,103451669,0.296457746,0.18085771,0.186092126
MDP0000280246,#N/A,0.087455035,0.106706049,0.789146921
MDP0000280247,#N/A,3.170245026,3.501292229,3.64551567
MDP0000280252,#N/A,0.242930653,0.587518424,0.122538342
MDP0000280253,#N/A,8.233861819,5.335302444,3.585121772
MDP0000280258,103403062,0,0,0
MDP0000280260,#N/A,0.271178404,0.886262864,0.205180479
MDP0000280262,#N/A,107.7185096,87.901906,127.6455343
MDP0000280264,#N/A,3.473391469,4.61636098,6.132131489
MDP0000280265,#N/A,4.238721055,42.80507018,21.92732075
MDP0000280268,#N/A,5.218970558,3.3021565,3.720652671
MDP0000280274,103439689,2.407832001,2.630805211,2.274744909
MDP0000280278,#N/A,3.398154228,2.012577105,2.75094952
MDP0000280279,103438477,0,0,0
MDP0000280280,103443783,0.097988835,0.067251711,0.12974648
MDP0000280291,103432747,0.082117404,0,0
MDP0000280298,103437322,79.94211944,63.90725528,72.16768169
MDP0000280299,#N/A,0.768338811,1.24076801,1.436263355
MDP0000280303,#N/A,0.020174172,0.018461254,0.094977815
MDP0000280305,103425597,0.541890063,0.192842257,0.578735301
MDP0000280306,#N/A,5.317178795,4.915671915,3.546727737
MDP0000280307,#N/A,3.47774409,1.925522687,1.565051103
MDP0000280317,103443354,0,0,0.016818988
MDP0000280319,103446233,8.352495709,3.663574345,5.952277262
